gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.726,0.083,3.435,3.518,13,0
1.775,0.082,3.442,3.524,15,0
1.716,0.082,3.442,3.525,8,0
1.757,0.083,3.436,3.519,13,0
1.717,0.083,3.424,3.508,13,0
1.748,0.084,3.425,3.509,12,0
1.757,0.083,3.435,3.517,13,0
1.752,0.083,3.429,3.513,12,0
1.78,0.083,3.434,3.518,14,0
1.825,0.084,3.432,3.517,15,0
1.784,0.084,3.43,3.514,15,0
1.768,0.085,3.427,3.512,12,0
1.778,0.085,3.431,3.516,16,0
1.777,0.085,3.431,3.516,12,0
1.73,0.086,3.421,3.507,11,0
1.738,0.086,3.418,3.504,15,0
1.693,0.087,3.403,3.49,22,0
1.75,0.087,3.405,3.491,10,0
1.794,0.086,3.413,3.499,11,0
1.796,0.089,3.403,3.491,17,0
1.721,0.089,3.4,3.489,16,0
1.778,0.089,3.395,3.484,17,0
1.797,0.089,3.405,3.493,17,0
1.747,0.089,3.407,3.496,14,0
1.711,0.091,3.387,3.478,30,0
1.762,0.091,3.39,3.48,19,0
1.775,0.091,3.383,3.474,20,0
1.779,0.092,3.374,3.466,17,0
1.764,0.091,3.384,3.475,16,0
1.744,0.092,3.382,3.474,13,0
1.687,0.092,3.382,3.475,17,0
1.8,0.092,3.383,3.474,12,0
1.733,0.091,3.391,3.482,16,0
1.76,0.091,3.386,3.477,12,0
1.759,0.091,3.384,3.475,11,0
1.78,0.089,3.395,3.483,21,0
1.762,0.088,3.394,3.482,13,0
1.758,0.09,3.377,3.467,19,0
1.71,0.09,3.366,3.456,11,0
1.758,0.091,3.361,3.452,15,0
1.748,0.091,3.36,3.451,11,0
1.763,0.092,3.348,3.44,12,0
1.742,0.092,3.35,3.442,12,0
1.696,0.092,3.348,3.44,14,0
1.737,0.092,3.348,3.44,17,0
1.793,0.092,3.353,3.444,17,0
1.812,0.092,3.347,3.439,16,0
1.718,0.093,3.339,3.432,14,0
1.765,0.094,3.329,3.423,13,0
1.793,0.094,3.324,3.418,10,0
1.772,0.095,3.323,3.418,17,0
1.782,0.095,3.326,3.421,15,0
1.771,0.095,3.321,3.416,7,0
